# Density(g/cm^3) Pressure(dyn/cm^2) cs2
1.540166e+13 3.512600e+31 nan
1.549352e+13 3.540183e+31 nan
1.558593e+13 3.567985e+31 nan
1.567889e+13 3.596009e+31 nan
1.577240e+13 3.624255e+31 nan
1.586648e+13 3.652727e+31 nan
1.596111e+13 3.681425e+31 nan
1.605631e+13 3.710352e+31 nan
1.615207e+13 3.739509e+31 nan
1.624841e+13 3.768898e+31 nan
1.634532e+13 3.798521e+31 nan
1.644281e+13 3.828379e+31 nan
1.654088e+13 3.858476e+31 nan
1.663953e+13 3.888812e+31 nan
1.673878e+13 3.919390e+31 nan
1.683861e+13 3.950210e+31 nan
1.693904e+13 3.981277e+31 nan
1.704007e+13 4.012590e+31 nan
1.714171e+13 4.044153e+31 nan
1.724395e+13 4.075967e+31 nan
1.734679e+13 4.108035e+31 nan
1.745026e+13 4.140357e+31 nan
1.755434e+13 4.172937e+31 nan
1.765903e+13 4.205776e+31 nan
1.776436e+13 4.238877e+31 nan
1.787031e+13 4.272241e+31 nan
1.797690e+13 4.305871e+31 nan
1.808412e+13 4.339768e+31 nan
1.819198e+13 4.373936e+31 nan
1.830048e+13 4.408375e+31 nan
1.840963e+13 4.443089e+31 nan
1.851943e+13 4.478078e+31 nan
1.862989e+13 4.513347e+31 nan
1.874100e+13 4.548896e+31 nan
1.885278e+13 4.584728e+31 nan
1.896522e+13 4.620845e+31 nan
1.907834e+13 4.657250e+31 nan
1.919213e+13 4.693944e+31 nan
1.930660e+13 4.730931e+31 nan
1.942175e+13 4.768212e+31 nan
1.953758e+13 4.805790e+31 nan
1.965411e+13 4.843667e+31 nan
1.977134e+13 4.881845e+31 nan
1.988926e+13 4.920328e+31 nan
2.000789e+13 4.959116e+31 nan
2.012722e+13 4.998214e+31 nan
2.024726e+13 5.037623e+31 nan
2.036803e+13 5.077345e+31 nan
2.048951e+13 5.117384e+31 nan
2.061171e+13 5.157741e+31 nan
2.073465e+13 5.198420e+31 nan
2.085832e+13 5.239422e+31 nan
2.098272e+13 5.280751e+31 nan
2.110787e+13 5.322409e+31 nan
2.123377e+13 5.364398e+31 nan
2.136041e+13 5.406722e+31 nan
2.148781e+13 5.449383e+31 nan
2.161597e+13 5.492383e+31 nan
2.174490e+13 5.535725e+31 nan
2.187459e+13 5.579413e+31 nan
2.200506e+13 5.623448e+31 nan
2.213630e+13 5.667834e+31 nan
2.226833e+13 5.712573e+31 nan
2.240115e+13 5.757669e+31 nan
2.253476e+13 5.803123e+31 nan
2.266916e+13 5.848939e+31 nan
2.280437e+13 5.895120e+31 nan
2.294038e+13 5.941668e+31 nan
2.307720e+13 5.988587e+31 nan
2.321484e+13 6.035880e+31 nan
2.335330e+13 6.083548e+31 nan
2.349259e+13 6.131597e+31 nan
2.363271e+13 6.180028e+31 nan
2.377366e+13 6.228844e+31 nan
2.391546e+13 6.278049e+31 nan
2.405810e+13 6.327646e+31 nan
2.420159e+13 6.377637e+31 nan
2.434593e+13 6.428027e+31 nan
2.449114e+13 6.478817e+31 nan
2.463721e+13 6.530012e+31 nan
2.478416e+13 6.581614e+31 nan
2.493198e+13 6.633628e+31 nan
2.508068e+13 6.686055e+31 nan
2.523027e+13 6.738899e+31 nan
2.538075e+13 6.792164e+31 nan
2.553213e+13 6.845854e+31 nan
2.568441e+13 6.899970e+31 nan
2.583760e+13 6.954518e+31 nan
2.599171e+13 7.009499e+31 nan
2.614673e+13 7.064918e+31 nan
2.630268e+13 7.120779e+31 nan
2.645956e+13 7.177084e+31 nan
2.661737e+13 7.233837e+31 nan
2.677613e+13 7.291042e+31 nan
2.693583e+13 7.348703e+31 nan
2.709648e+13 7.406822e+31 nan
2.725809e+13 7.465404e+31 nan
2.742067e+13 7.524453e+31 nan
2.758422e+13 7.583971e+31 nan
2.774874e+13 7.643963e+31 nan
2.791424e+13 7.704433e+31 nan
2.808073e+13 7.765384e+31 nan
2.824821e+13 7.826821e+31 nan
2.841670e+13 7.888746e+31 nan
2.858618e+13 7.951164e+31 nan
2.875668e+13 8.014080e+31 nan
2.892819e+13 8.077496e+31 nan
